Channel,Status,Subject line or Title,Delivered,Unique Clicked,client
Web Push,Sent,Vibrant Vietnam With Thailand - Air Inclusive ✈️,202689,853.0,thomascook
Email,Sent,Thomas Cook Launches Europe Summer Holidays,13429,58.0,thomascook
Email,Sent,Thomas Cook Launches Europe Summer Holidays,1486821,7917.0,thomascook
Email,Suspended,Thomas Cook Launches Europe Summer Holidays,0,0.0,thomascook
Web Push,Sent,Amazing Bhutan,201893,1000.0,thomascook
Email,Sent,God’s Own Country now within your reach 🌴,795735,2503.0,thomascook
Web Push,Sent,Magical Dubai - Air Inclusive,202641,819.0,thomascook
Email,Sent,Book a Europe summer holiday & get cruise FREE,474360,1257.0,thomascook
Email,Sent,"Open This, If You Are Planning To Study Abroad 🎓🌎",236865,674.0,thomascook
Web Push,Sent,Whole of Gujarat,201693,840.0,thomascook
Email,Sent,"Golden Sands, Rich Red Rocks & Incredible Sunsets Await You",338854,2182.0,thomascook
Web Push,Sent,Maldives - Maayafushi Resort,198731,928.0,thomascook
Web Push,Sent,Assam and Meghalaya - Air Inclusive ✈️,186917,764.0,thomascook
Web Push,Sent,Singapore Getaway - Flight Inclusive ✈️,189577,798.0,thomascook
Email,Sent,The First Long Weekend of 2023 is already here!,428410,3214.0,thomascook
Email,Sent,Thomas Cook Forex Card + International Trip = Convenience & Safety 💳✈,129450,375.0,thomascook
Web Push,Sent,Mesmerizing Uttarakhand,198937,800.0,thomascook
Email,Sent,Hallyu 2023! Experience the K-Wave,347127,699.0,thomascook
Web Push,Sent,"💸 Think Forex, Think Thomas Cook.",199974,459.0,thomascook
Email,Sent,Best Price Guaranteed on Holidays✈️️,23,1.0,thomascook
Email,Sent,Best Price Guaranteed on Holidays✈️️,902088,3160.0,thomascook
Web Push,Sent,Exotic Kashmir with Sonmarg - Air Inclusive ✈️,199448,910.0,thomascook
Email,Sent,Best Price Guaranteed on Holidays✈️️,1586149,5457.0,thomascook
Web Push,Sent,Thai Getaway - Flights Inclusive ✈️,199067,760.0,thomascook
Email,Sent,Enjoy KrisFlyer miles on your forex 💱 ✈️,323813,476.0,thomascook
Web Push,Sent,Colourful Rajasthan,197240,786.0,thomascook
Web Push,Sent,Vibrant Vietnam - Air Inclusive ✈️,184613,814.0,thomascook
Web Push,Sent,Mesmerizing Kerala,189008,813.0,thomascook
Email,Sent,💸 Send money abroad even after banking hours! 🌍,456510,780.0,thomascook
Web Push,Sent,"💸 Think Forex, Think Thomas Cook.",195789,416.0,thomascook
Web Push,Sent,Honeymoon - Himachal Magic Moments,194559,791.0,thomascook
Email,Sent,Hallyu 2023! Experience the K-Wave,212727,1111.0,thomascook
Web Push,Sent,Dubai Getaway - Air Inclusive,194895,898.0,thomascook
Web Push,Sent,Himachal Experience Of Manali,195292,853.0,thomascook
Web Push,Sent,Turkish Extravaganza- Air Inclusive ✈️,191229,741.0,thomascook
Web Push,Sent,Delight So Sri Lanka,180174,668.0,thomascook
Web Push,Sent,Japan Cherry Blossom - Air Inclusive ✈️,184495,764.0,thomascook
Web Push,Sent,Stunning Kashmir with Sonmarg,187466,774.0,thomascook
Web Push,Sent,"Experience Resort World Sentosa, Singapore",189323,598.0,thomascook
Email,Sent,Mega Offer 📢 Book a Dubai Holiday and Get 3 Nights Cruise Free,397912,1936.0,thomascook
Web Push,Sent,"💸 Think Forex, Think Thomas Cook.",189222,424.0,thomascook
Web Push,Sent,Europe for All - Air Inclusive ✈️,189017,918.0,thomascook
Web Push,Sent,Amazing Andaman,187201,1048.0,thomascook
Web Push,Sent,Glamorous Singapore With Sentosa,176775,676.0,thomascook
Email,Sent,Holiday in Singapore is incomplete without this!,148794,1190.0,thomascook
Web Push,Sent,Uttarakhand Corbett With Mussoorie,181633,693.0,thomascook
Web Push,Suspended,Dubai Fully Loaded - Buy 1 Get 1 Free,0,0.0,thomascook
Web Push,Sent,Dubai Fully Loaded - Buy 1 Get 1 Free,189659,1212.0,thomascook
Email,Sent,"This Christmas, Visit the Home Town of Santa",397843,2352.0,thomascook
Web Push,Sent,Colourful Rajasthan,189134,705.0,thomascook
Email,Sent,All you need is a good dose of vitamin SEA.,512551,3813.0,thomascook
Web Push,Sent,Canadian Delights,186567,943.0,thomascook
Web Push,Sent,"💸 Think Forex, Think Thomas Cook.",188567,475.0,thomascook
Email,Sent,Experience Oman,498086,3581.0,thomascook
Web Push,Sent,Sri Lanka - The Wonder of Asia,188105,776.0,thomascook
Web Push,Sent,Enchanting Egypt,177300,748.0,thomascook
Web Push,Sent,Wonders Of Shillong And Guwahati,168299,641.0,thomascook
Email,Sent,"This Christmas, Meet Your Favourite Characters",90938,66.0,thomascook
Email,Sent,"This Christmas, Meet Your Favourite Characters",450545,1520.0,thomascook
Web Push,Sent,"Experience Resort World Sentosa, Singapore",184303,535.0,thomascook
Web Push,Sent,Heavenly Himachal,185226,856.0,thomascook
Web Push,Sent,Gujarat - Statue of Unity with Dwarka and Somnath,189151,809.0,thomascook
Email,Sent,Exciting Reward Is On Your Way,73082,604.0,thomascook
Web Push,Sent,Cherry Blossom From Osaka - Air Inclusive ✈️,187008,830.0,thomascook
Web Push,Sent,"💸 Think Forex, Think Thomas Cook.",186815,441.0,thomascook
Web Push,Sent, Breathtaking Bhutan - Air Inclusive ✈️,174725,790.0,thomascook
Web Push,Sent,Grand Bargain Turkiye - Air Inclusive ✈️,178930,634.0,thomascook
Email,Sent,You think you know all about Maldives? 🤔🏖,487503,3479.0,thomascook
Email,Suspended,You think you know all about Maldives? 🤔🏖,0,0.0,thomascook
Web Push,Sent,Heavenly Kashmir with Pahalgam,185117,850.0,thomascook
Email,Sent,You think you know all about Maldives? 🤔🏖,398095,2903.0,thomascook
Email,Sent,💸 Here is your reward from Thomas Cook !,20752,366.0,thomascook
Web Push,Sent,Crazy Deal Singapore With Sentosa Island - Flight Inclusive ✈️,182692,714.0,thomascook
Web Push,Sent,"💸 Think Forex, Think Thomas Cook.",184607,434.0,thomascook
Email,Sent,Wildlife Calling,310755,3875.0,thomascook
Web Push,Sent,Wow Andaman,184856,1052.0,thomascook
Email,Sent,Journey of a perfect lifetime starts here!💞👫,1140,52.0,thomascook
Web Push,Sent,"Experience Resort World Sentosa, Singapore",183128,576.0,thomascook
Web Push,Sent,Unique stays At Naukuchiatal,171252,733.0,thomascook
Web Push,Sent,Colourful Rajasthan,182554,741.0,thomascook
Web Push,Sent,"💸 Think Forex, Think Thomas Cook.",182630,406.0,thomascook
Email,Sent,Journey of a perfect lifetime starts here!💞👫,497349,4953.0,thomascook
Web Push,Sent,The Spirit Of Australia - Air Inclusive ✈️,182721,698.0,thomascook
Email,Sent,Witness Singapore's Award Winning Wildlife Parks,450879,856.0,thomascook
Web Push,Sent,Europe Holidays 2023✈️,183244,944.0,thomascook
Email,Sent,💸 Send money abroad even after banking hours! 🌍,80766,268.0,thomascook
Web Push,Suspended,"Experience Resort World Sentosa, Singapore",0,0.0,thomascook
Web Push,Sent,"Experience Resort World Sentosa, Singapore",178728,582.0,thomascook
Web Push,Sent,Best Cherry Blossom Festival in the World🌸,168593,662.0,thomascook
Web Push,Sent,Best of Rajasthan,171914,802.0,thomascook
Email,Sent,Launching Europe 2023 🗺️ ✈️,22,1.0,thomascook
Email,Suspended,Launching Europe 2023 🗺️ ✈️,866474,5546.0,thomascook
Web Push,Sent,Egyptian Extravaganza - Flight Inclusive ✈️,176241,613.0,thomascook
Email,Sent,Launching Europe 2023 🗺️ ✈️,1586637,10446.0,thomascook
Web Push,Sent, Wonders Of Assam And Meghalaya,177893,702.0,thomascook
Web Push,Sent,Honeymoon - Himachal Magic Moments,176240,768.0,thomascook
Email,Sent,Travel in Egypt: A Journey through Time,352795,2603.0,thomascook
Web Push,Sent,"💸 Think Forex, Think Thomas Cook.",177294,426.0,thomascook
Email,Sent,TC Forex Card + International Trip = Convenience & Safety 💳✈,199581,905.0,thomascook
Web Push,Sent,Rann Utsav - The White Dessert Carnival,174609,684.0,thomascook
Web Push,Sent, Bhutan Escape,162726,861.0,thomascook
Email,Sent,It’s Back & It’s Bigger Than Ever – Dubai Shopping Festival! 🛍,392358,2750.0,thomascook
Web Push,Sent,Kerala - Munnar Calling,169267,896.0,thomascook
Web Push,Sent,Majestic New Zealand,172815,915.0,thomascook
Email,Sent,Experience Oman ✈️,487464,3486.0,thomascook
Web Push,Sent,Amazing Andaman,175775,1031.0,thomascook
Email,Sent,Don’t Miss Out : Companion Travels For Free on Cordelia Cruise 🚢,448601,4746.0,thomascook
Web Push,Sent,"Experience Resort World Sentosa, Singapore",172144,589.0,thomascook
Email,Sent,Celebrate your ultimate Christmas Holiday Now 🎄,425337,357.0,thomascook
Web Push,Sent,Best of Rajasthan,172946,898.0,thomascook
Email,Sent,You think you know all about Maldives? 🤔,49860,11.0,thomascook
Email,Sent,You think you know all about Maldives? 🤔,52849,1224.0,thomascook
Web Push,Sent,"💸 Think Forex, Think Thomas Cook.",170480,417.0,thomascook
Web Push,Sent,Best Cherry Blossom Festival in the World🌸,157983,684.0,thomascook
Web Push,Sent, Wonders Of Assam And Meghalaya,160214,630.0,thomascook
Email,Sent,Inside: Malaysia Holiday Deals,338790,3844.0,thomascook
Web Push,Sent,Honeymoon - Himachal Magic Moments,167365,691.0,thomascook
Web Push,Sent,Egyptian Extravaganza - Flight Inclusive ✈️,169818,636.0,thomascook
Web Push,Sent,Rann Utsav - The White Dessert Carnival,166393,660.0,thomascook
Email,Suspended,Sunao apni Rann Utsav ki kahani🐪,0,0.0,thomascook
Email,Suspended,Kutch Toh Khas Hai iss Rann Mai 🐪,0,0.0,thomascook
Email,Sent,Sunao apni Rann Utsav ki kahani🐪,110913,1094.0,thomascook
Email,Sent,Kutch Toh Khas Hai iss Rann Mai 🐪,110925,1132.0,thomascook
Email,Sent,Sunao apni Rann Utsav ki kahani🐪,221777,2162.0,thomascook
Web Push,Sent,"Experience Resort World Sentosa, Singapore",165635,595.0,thomascook
Web Push,Sent,Exotic Kashmir with Gulmarg - Air Inclusive ✈️,164507,749.0,thomascook
Web Push,Sent,Scenic Australia - Air Inclusive✈️,153268,550.0,thomascook
Web Push,Sent,Andaman For All,156110,882.0,thomascook
